2026-06-18 11:08:28.592 [pool-1-thread-34] INFO  edu.homework.inspection.car.CarAgent - Car 1 MOVE (5,1)->(4,1) | timing: total=10ms check=202us queuePop=149us getPos=456us validate=688us posUpdate=1174us illuminate=3339us routeCheck=233us stateTrans=635us remainingSteps=0
2026-06-18 11:08:28.593 [pool-1-thread-32] INFO  edu.homework.inspection.car.CarAgent - Car 5 MOVE (4,2)->(5,2) | timing: total=11ms check=455us queuePop=219us getPos=406us validate=678us posUpdate=893us illuminate=3996us routeCheck=240us stateTrans=722us remainingSteps=0
2026-06-18 11:08:28.593 [pool-1-thread-31] INFO  edu.homework.inspection.car.CarAgent - Car 4 MOVE (19,12)->(18,12) | timing: total=11ms check=429us queuePop=258us getPos=454us validate=439us posUpdate=721us illuminate=4282us routeCheck=402us stateTrans=591us remainingSteps=0
2026-06-18 11:08:28.593 [pool-1-thread-33] INFO  edu.homework.inspection.car.CarAgent - Car 3 ROUTE_DONE: arrived at target, path completed
2026-06-18 11:08:28.593 [pool-1-thread-33] INFO  edu.homework.inspection.car.CarAgent - Car 3 MOVE (10,2)->(9,2) | timing: total=11ms check=398us queuePop=180us getPos=297us validate=354us posUpdate=851us illuminate=5099us routeCheck=186us stateTrans=500us remainingSteps=0
2026-06-18 11:08:28.893 [controller-tick-loop] INFO  e.h.inspection.common.RabbitProvider - RabbitMQ topology declared (5 cars, 4 navigators) in 47ms
2026-06-18 11:08:29.080 [controller-tick-loop] INFO  e.h.i.controller.ControllerAgent - Tick 3: car 1 at (4,1) dispatched to navigator 1
2026-06-18 11:08:29.081 [controller-tick-loop] INFO  e.h.i.controller.ControllerAgent - Tick 3: car 2 at (2,14) dispatched to navigator 1
2026-06-18 11:08:29.082 [pool-1-thread-36] INFO  e.h.i.navigator.NavigationService - Navigator processing car 1 at (4,1) map=20x20
2026-06-18 11:08:29.083 [controller-tick-loop] INFO  e.h.i.controller.ControllerAgent - Tick 3: car 3 at (9,2) dispatched to navigator 2
2026-06-18 11:08:29.085 [controller-tick-loop] INFO  e.h.i.controller.ControllerAgent - Tick 3: car 4 at (18,12) dispatched to navigator 2
2026-06-18 11:08:29.085 [pool-1-thread-37] INFO  e.h.i.navigator.NavigationService - Navigator processing car 3 at (9,2) map=20x20
2026-06-18 11:08:29.087 [controller-tick-loop] INFO  e.h.i.controller.ControllerAgent - Tick 3: car 5 at (5,2) dispatched to navigator 3
2026-06-18 11:08:29.087 [controller-tick-loop] INFO  e.h.i.controller.ControllerAgent - Tick 3: 5 cars, explored=11.3%, idle=5, assigned=5, cost=243ms
2026-06-18 11:08:29.092 [pool-1-thread-41] INFO  e.h.i.navigator.NavigationService - Navigator processing car 5 at (5,2) map=20x20
2026-06-18 11:08:29.190 [pool-1-thread-36] INFO  e.h.i.navigator.NavigationService - Navigator car 1: target selected (2,1) at distance 2
2026-06-18 11:08:29.192 [pool-1-thread-36] INFO  e.h.i.navigator.NavigationService - Navigator car 1 PLANNED: 2 steps, algo=ASTAR, searchCost=0ms, total=109ms, (4,1) -> (2,1)
2026-06-18 11:08:29.194 [pool-1-thread-45] INFO  e.h.i.navigator.NavigationService - Navigator processing car 2 at (2,14) map=20x20
2026-06-18 11:08:29.194 [pool-1-thread-37] INFO  e.h.i.navigator.NavigationService - Navigator car 3: target selected (11,2) at distance 2
2026-06-18 11:08:29.195 [pool-1-thread-37] INFO  e.h.i.navigator.NavigationService - Navigator car 3 PLANNED: 2 steps, algo=ASTAR, searchCost=0ms, total=109ms, (9,2) -> (11,2)
2026-06-18 11:08:29.196 [pool-1-thread-46] INFO  e.h.i.navigator.NavigationService - Navigator processing car 4 at (18,12) map=20x20
2026-06-18 11:08:29.204 [pool-1-thread-41] INFO  e.h.i.navigator.NavigationService - Navigator car 5: target selected (5,4) at distance 2
